school_number,name,uniform_type,slacks_skirt_choice,quote,source
403040,荻窪,標準服（制服なし）,,・施設・沿革 制服・校章・校歌・施設・沿革 制服 本校に制服はありません。,https://www.metro.ed.jp/ogikubo-he/our_school/symbols.html
403050,西,制服なし（服装自由）,,本校は制服はございません。,https://www.metro.ed.jp/nishi-h/school_life/symbols.html
403060,豊多摩,制服なし（服装自由）,,豊多摩高校には制服はありません。,https://www.metro.ed.jp/toyotama-h/school_life/symbols.html
403070,杉並,学ラン・セーラー,,昭和28年の創立以来の伝統ある制服で、男子は詰入型（学ランタイプ）、女子はセーラー服です。,https://www.metro.ed.jp/suginami-h/school_life/symbols.html
403210,石神井,標準服,,石神井高校では、平成２５年度入学生より、現在の標準服を制服として着用を義務付け、あわせて頭髪を染めたり、脱色等を禁止します。,https://www.metro.ed.jp/shakujii-h/school_life/symbols.html
403220,井草,制服あり（形は公式サイト参照）,,制服については学校運営方針・校則内に記載してありますのでそちらをご確認ください。,https://www.metro.ed.jp/igusa-h/school_life/symbols.html
403230,大泉,制服あり（形は公式サイト参照）,,夏服中学 冬服中学 夏服高校 冬服高校 制服紹介動画： https://www.youtube.com/watch?v=tzSLRPSQmG8。,https://www.metro.ed.jp/oizumi-h/school_life/symbols.html
403240,練馬,ブレザー,1,制服は、所定のブレザーに男子はズボン＋ベルト、女子はスカートまたはスラックスがあります。,https://www.metro.ed.jp/nerima-h/school_life/symbols.html
403250,光丘,ブレザー,,平成21年入学者から新しいものになりました 男子 紺のブレザー・グレーのズボン。,https://www.metro.ed.jp/hikarigaoka-h/school_life/symbols.html
403280,田柄,制服あり（形は公式サイト参照）,1,令和２年度（第４０期）入学生より、制服を一新しました。,https://www.metro.ed.jp/tagara-h/school_life/symbols.html
403410,杉並総合,ブレザー,,服装は次の本校指定の制服を着用すること。,https://www.metro.ed.jp/suginamisogo-h/school_life/symbols.html
403420,稔ヶ丘,制服あり（形は公式サイト参照）,,本校では、学校生活全般にわたり、学校指定の「校服」を着用します。,https://www.metro.ed.jp/minorigaoka-he/school_life/symbols.html
403510,大泉桜,ブレザー,1,選べる制服 生徒にも人気の制服は、冬服はチャコールグレーのブレザー・スラックス・スカートです。,https://www.metro.ed.jp/oizumisakura-h/school_life/symbols.html
403710,中野工科,,,校章 現校章は桃園の地より野方の地に移転された後に作製された。,https://www.metro.ed.jp/nakanokoka-h/school_life/symbols.html
403720,杉並工科,ブレザー,1,令和６年度 制服リニューアル ブレザー、ボトムズ、ネクタイ、夏用ボトムズがあります。,https://www.metro.ed.jp/suginamikoka-h/school_life/symbols.html
403730,練馬工科,ブレザー,1,制服は本校指定のものを購入、着用します。,https://www.metro.ed.jp/nerimakoka-h/school_life/symbols.html
403810,農芸,制服あり（形は公式サイト参照）,,上下とも家庭で洗濯できる素材で出来ています。,https://www.metro.ed.jp/nogei-h/school_life/symbols.html
404010,竹早,学ラン・セーラー,,標準服（購入・着用任意） 男子は詰襟学生服、女子はセーラー服の標準服がありますが、購入・着用ともに任意です。,https://www.metro.ed.jp/takehaya-h/school_life/symbols.html
404020,向丘,制服あり（形は公式サイト参照）,,本校には指定の制服（冬服と夏服）があります。,https://www.metro.ed.jp/mukogaoka-h/school_life/symbols.html
404040,豊島,ブレザー,1,令和2年度入学生より制服デザイン一新!! スクールカラーのえんじ色を取り入れました。,https://www.metro.ed.jp/toshima-h/school_life/symbols.html
404050,文京,ブレザー,,,https://www.metro.ed.jp/bunkyo-h/school_life/symbols.html
404210,北園,制服なし（服装自由）,,本校は制服がありません。,https://www.metro.ed.jp/kitazono-h/school_life/symbols.html
404220,板橋,,,校章 昭和８年当時八咫鏡と撫子の花をあしらって制定された校章は、昭和２４年高等学校として新発足するに当り、その装いも改めて撫子の花芯に「高」の文字と交叉した「ペン」を盛り上げ、その周辺を花模様の鏡で包んだものに定めた。,https://www.metro.ed.jp/itabashi-h/school_life/symbols.html
404260,高島,ブレザー,1,高島高校の制服です。,https://www.metro.ed.jp/takashima-h/school_life/symbols.html
404410,桐ヶ丘,,,校章 校名の由来 本校の南に続く地域は桐ヶ丘と呼ばれる地域で、桐ヶ丘郷小学校を中心とした地域に桐の木が多かったことが地名の由来といわれています。,https://www.metro.ed.jp/kirigaoka-he/school_life/symbols.html
404510,飛鳥,ブレザー,1,・校章・生徒心得・校歌 制服・校章・生徒心得・校歌 制服 紺のブレザータイプの制服です。,https://www.metro.ed.jp/asuka-h/school_life/symbols.html
404520,板橋有徳,セーラー,1,クラシックなタイプの制服です。,https://www.metro.ed.jp/itabashiyutoku-h/school_life/symbols.html
404640,千早,標準服,,本校の制服は標準服ではなく、登下校および校内では着用することになっています。,https://www.metro.ed.jp/chihaya-h/school_life/symbols.html
404730,北豊島工科,制服あり（形は公式サイト参照）,,令和6年度生まで 令和7年度生から新制服。,https://www.metro.ed.jp/kitatoshimakoka-h/school_life/symbols.html
404910,赤羽北桜,ブレザー,,【POINT1】全アイテム 気品と清潔感があり洗練されたデザイン 濃紺をベースとし、スーツに近いフォーマルで、いつでも誰からも信頼される印象を与える制服です。,https://www.metro.ed.jp/akabanehokuo-h/school_life/symbols.html
405040,白鴎,学ラン,1,本校では、府立第一高等女学校の時代(大正14年頃)に東京下町でシンボル的存在となったボレロ型上着と、昭和24年に男女共学となった際に導入された男子の詰め襟型の制服を長らく愛用し続けてきました。,https://www.metro.ed.jp/hakuo-h/school_life/symbols.html
405050,忍岡,ブレザー,1,平成18年に新たに採用された制服は、日本人として初めてパリコレクションにモデルとして参加された故山口小夜子さんにデザインを依頼して制作された。,https://www.metro.ed.jp/shinobugaoka-h/school_life/symbols.html
405060,上野,制服あり（形は公式サイト参照）,,伝統ある上野高校に相応しい、格調高く品のあるデザイン 冬服 冬服は男女とも濃紺のジャケットです。,https://www.metro.ed.jp/ueno-h/school_life/symbols.html
405070,竹台,ブレザー,,--> 制服 生徒会の意見を取り入れた、機能的で快適な制服です。,https://www.metro.ed.jp/takenodai-h/school_life/symbols.html
405210,足立,ブレザー,,夏服 令和2年度よりポロシャツを導入しました。,https://www.metro.ed.jp/adachi-h/school_life/symbols.html
405220,江北,制服あり（形は公式サイト参照）,,新制服（平成29年度入学生から） 平成29年度入学生から、シャドーストライプのスーツスタイルの新制服となりました。,https://www.metro.ed.jp/kohoku-h/school_life/symbols.html
405230,淵江,ブレザー,,人気の高かった2代目制服をもとに、現代的なデザインと仕様を採用しました。,https://www.metro.ed.jp/fuchie-h/school_life/symbols.html
405240,足立西,ブレザー,,ブレザー、スラックスまたはスカート 白シャツ、白ブラウス、白ポロシャツ（夏期） ネクタイまたはリボン ニットベスト（白・指定）、セーター（グレー・指定） 校章「五色桜」の由来 本校の校章は、日本の国花として、清純さを象徴する桜であり、遠くから見ると五色にたなびく霞のように見える「五色桜」を象徴化したものである。,https://www.metro.ed.jp/adachinishi-h/school_life/symbols.html
405250,足立東,制服あり（形は公式サイト参照）,,・校則 制服・校章・校歌・校則 制服。,https://www.metro.ed.jp/adachihigashi-h/school_life/symbols.html
405260,青井,制服あり（形は公式サイト参照）,,夏服 冬服 ・女子はスラックスも選択もできます。,https://www.metro.ed.jp/aoi-h/school_life/symbols.html
405270,足立新田,制服あり（形は公式サイト参照）,,選べる制服 男子の制服 女子の制服 ・女子はスラックスも選択できます。,https://www.metro.ed.jp/adachishinden-h/school_life/symbols.html
405410,晴海総合,セーラー,,制服のデザイン 冬服のボタンには、6つの系列を表す、船の舵輪があしらわれています。,https://www.metro.ed.jp/harumisogo-h/school_life/symbols.html
405420,小台橋,,,制定品はジャケットとポロシャツのみ。,https://www.metro.ed.jp/odaibashi-he/school_life/symbols.html
405520,浅草,標準服,,・施設・沿革 制服・校章・校歌・施設・沿革 制服 本校は「標準服」です。,https://www.metro.ed.jp/asakusa-he/our_school/symbols.html
405710,蔵前工科,ブレザー,1,2019年度入学生より、新制服となります。,https://www.metro.ed.jp/kuramaekoka-h/school_life/symbols.html
405720,荒川工科,,,校章の由来 昭和３８年１月２８日制定 三個の楕円を組合せて形造り、銀色の地金をいぶし、軌道は銀色、中央に金文字で「髙」の字を配したものである。,https://www.metro.ed.jp/arakawakoka-h/school_life/symbols.html
405730,足立工科,ブレザー,,平成29年度入学生より、今までのモスグリーンを基調とした制服から、チャコールグレーのブレザーとチェックのスラックス又はスカートにシルバーのタイをあしらったデザインに変更となりました。,https://www.metro.ed.jp/adachikoka-h/school_life/symbols.html
406010,両国,制服あり（形は公式サイト参照）,,附属中学 希望する女子はスラックスも購入できます 高校 希望する女子はスラックスも購入できます。,https://www.metro.ed.jp/ryogoku-h/school_life/symbols.html
406020,墨田川,ブレザー,1,男子は伝統の学ラン。,https://www.metro.ed.jp/sumidagawa-h/school_life/symbols.html
406030,本所,ブレザー,,冬服 夏服 ポロシャツ コンセプト 落ち着いた校風にマッチしたデザイン。,https://www.metro.ed.jp/honjo-h/school_life/symbols.html
406040,葛飾野,ブレザー,,「伝統と新生」をテーマにした濃紺のシングル3つボタンブレザースタイルです。,https://www.metro.ed.jp/katsushikano-h/school_life/symbols.html
406050,南葛飾,ブレザー,1,冬服 青を基調と新しいエンブレムが、胸元のワンポイントになっています。,https://www.metro.ed.jp/minamikatsushika-h/school_life/symbols.html
406070,日本橋,ブレザー,,本校指定の制服 冬季 男子 指定のブレザー、ズボン、ネクタイ、白色無地のワイシャツ 女子 指定のブレザー、スカート、リボン、白色無地のワイシャツ、ブラウス 夏季 ６月～９月は男子の学生服上着、女子のブレザーは着用しなくてもよい。,https://www.metro.ed.jp/nihonbashi-h/school_life/symbols.html
406210,深川,制服あり（形は公式サイト参照）,,平成１６年度より、現在のデザインになりました。,https://www.metro.ed.jp/fukagawa-h/school_life/symbols.html
406220,東,ブレザー,,令和７年度より制服を変更 本校では、校則の自己点検や見直しを生徒や保護者と協力して実施しています。,https://www.metro.ed.jp/higashi-h/school_life/symbols.html
406230,城東,,,校章 中央の「梅花」は、古くから梅の名所であった亀戸の地に因みます。,https://www.metro.ed.jp/joto-h/school_life/symbols.html
406240,小松川,制服あり（形は公式サイト参照）,,夏服 冬服 校章・キャラクター。,https://www.metro.ed.jp/komatsugawa-h/school_life/symbols.html
406250,江戸川,標準服（制服なし）,,「標準服」 本校では、始業式、終業式、入学式、卒業式などの儀式、中間・期末考査や実力テストなどの考査時、学年集会や講演会などで「標準服」を着用します。,https://www.metro.ed.jp/edogawa-h/school_life/symbols.html
406260,小岩,標準服,,制服は、当初は標準服として、保護者・生徒代表を加えた選定会議で原案を作り、平成17年9月の文化祭で中学生など約500名に投票していただき決定したものです。,https://www.metro.ed.jp/koiwa-h/school_life/symbols.html
406270,葛西南,ブレザー,1,夏服 白のワイシャツまたはポロシャツのいずれかを選べます。,https://www.metro.ed.jp/kasaiminami-h/school_life/symbols.html
406280,篠崎,ブレザー,,,https://www.metro.ed.jp/shinozaki-h/school_life/symbols.html
406290,紅葉川,ブレザー,,夏服 夏は白のワイシャツのほか、白のポロシャツの着用も認められています。,https://www.metro.ed.jp/momijigawa-h/school_life/symbols.html
406410,大江戸,制服あり（形は公式サイト参照）,,落ち着いた深みのあるチャコールグレーの生地（夏・冬服とも） リボン・ネクタイは、エンジベース（女子は両方着用可） 女子のジャケットは、プリンセスラインをとり、美しいシルエット。,https://www.metro.ed.jp/oedo-he/school_life/symbols.html
406420,葛飾総合,学ラン・セーラー,,デザインの特徴は トラディショナル（伝統）の中にも新しさと若々しさを感じさせる本校のオリジナルデザインです。,https://www.metro.ed.jp/katsushikasogo-h/school_life/symbols.html
406720,本所工科,制服あり（形は公式サイト参照）,,・施設・沿革 制服・校章・校歌・施設・沿革 校則 特に校則はありません。,https://www.metro.ed.jp/honjokoka-he/our_school/symbols.html
406730,墨田工科,制服あり（形は公式サイト参照）,1,服装は質素，端正，清潔にし，通学に際しては図に示す本校指定の学生服を着用する。,https://www.metro.ed.jp/sumidakoka-h/school_life/symbols.html
406760,葛西工科,,,,https://www.metro.ed.jp/kasaikoka-h/school_life/symbols.html
406810,農産,,,実習服（園芸科） 実習服（食品科）。,https://www.metro.ed.jp/nosan-h/school_life/symbols.html
406910,橘,ブレザー,,本校の制服は、それが入学の決め手になる生徒も多い人気のデザインです。,https://www.metro.ed.jp/tachibana-h/school_life/symbols.html
407020,富士森,ブレザー,1,【冬服】 男子：紺の縞柄入り詰め襟学生服上下、シャツ 女子：紺のブレザー、グレンチェックのプリーツスカート、シャツ 【夏服】 男子：グレーのスラックス、襟付シャツ 女子：グレンチェックのプリーツスカート、襟付シャツ ※女子はネクタイ・リボン自由、スラックス選択可。,https://www.metro.ed.jp/fujimori-h/school_life/symbols.html
407030,片倉,ブレザー,,制服は紺のブレザーにグレーのスラックス・スカートという ベーシックなデザインになっており、誰でも着こなすことができます。,https://www.metro.ed.jp/katakura-h/school_life/symbols.html
407040,八王子東,ブレザー,,全体の濃茶のイメージはそのままに、素材やデザインに現代的で品位ある要素を取り入れました。,https://www.metro.ed.jp/hachiojihigashi-h/school_life/symbols.html
407050,八王子北,制服あり（形は公式サイト参照）,,学校指定の制服を着用すること。,https://www.metro.ed.jp/hachiojikita-h/school_life/symbols.html
407070,松が谷,ブレザー,,夏服 スラックス・スカートは本校指定のものとする。,https://www.metro.ed.jp/matsugaya-h/school_life/symbols.html
407080,日野,制服あり（形は公式サイト参照）,,日野高校は、創立50周年を迎えました。,https://www.metro.ed.jp/hino-h/school_life/symbols.html
407090,日野台,ブレザー,,平成19年度に開校以来4半世紀を経過した制服を、魅力ある学校作りの観点から改定しました。,https://www.metro.ed.jp/hinodai-h/school_life/symbols.html
407100,南平,ブレザー,,男子 ブレザー・ズボン、ネクタイ(共に指定のもの)、白無地ワイシャツ 女子 ブレザー・スカート(紺色)、ズボン、ネクタイ、リボンタイ(共に指定のもの)、白無地ワイシャツ ①夏服 a.男女とも、ブレザー、ネクタイ・リボンタイを着用しなくてもよい。,https://www.metro.ed.jp/minamidaira-h/school_life/symbols.html
407210,町田,制服なし（服装自由）,,--> 制服 制服はありません。,https://www.metro.ed.jp/machida-h/school_life/symbols.html
407230,野津田,制服あり（形は公式サイト参照）,,夏服はポロシャツOK 女子用のスラックスもあります。,https://www.metro.ed.jp/nozuta-h/school_life/symbols.html
407240,成瀬,,,校章 天に向かって高く伸び、枝を張るケヤキの大樹と、八角に磨かれたダイヤモンドをあしらってデザインされています。,https://www.metro.ed.jp/naruse-h/school_life/symbols.html
407250,小川,ブレザー,1,・生徒手帳 制服・校章・校歌・生徒手帳 制服 夏服 夏季制服 6月1日から9月30日までとする。,https://www.metro.ed.jp/ogawa-h/school_life/symbols.html
407260,山崎,制服あり（形は公式サイト参照）,,※夏季・冬季の期間を定めた夏服・冬服の指定はありません。,https://www.metro.ed.jp/yamasaki-h/school_life/symbols.html
407420,町田総合,制服あり（形は公式サイト参照）,,本校の制服は、カッティング、縫製の良さに加えて、上品な光沢、滑らかな手触りのウールサキソニー生地を採用しています。,https://www.metro.ed.jp/machidasogo-h/school_life/symbols.html
407510,翔陽,ブレザー,1,夏服 夏服はワイシャツまたはポロシャツに、指定のズボンかスカートが選択できます。,https://www.metro.ed.jp/shoyo-h/school_life/symbols.html
407520,八王子拓真,標準服（制服なし）,,・施設・沿革 制服・校章・校歌・施設・沿革 標準服 本校は私服登校を許可しています。,https://www.metro.ed.jp/hachiojitakushin-he/our_school/symbols.html
407720,町田工科,制服あり（形は公式サイト参照）,,春夏服 秋冬服 実習服。,https://www.metro.ed.jp/machidakoka-h/school_life/symbols.html
408010,立川,制服なし（服装自由）,,都立立川高等学校には、制服はありません。,https://www.metro.ed.jp/tachikawa-h/school_life/symbols.html
408030,砂川,制服なし（服装自由）,,通信制課程の制服はありません。,https://www.metro.ed.jp/sunagawa-hc/school_life/symbols.html
408040,昭和,標準服（制服なし）,,標準服紹介 昭和高校には、制服はありません。,https://www.metro.ed.jp/showa-h/school_life/symbols.html
408050,拝島,ブレザー,1,服装や身だしなみは、その人の人格、教養を端的に示すものであるといわれる。,https://www.metro.ed.jp/haijima-h/school_life/symbols.html
408060,東大和,制服あり（形は公式サイト参照）,,,https://www.metro.ed.jp/higashiyamato-h/school_life/symbols.html
408070,武蔵村山,ブレザー,,2020年度に大幅リニューアルしました。,https://www.metro.ed.jp/musashimurayama-h/school_life/symbols.html
408090,東大和南,,,校章 校舎の中庭に大中小の楠が植えられている。,https://www.metro.ed.jp/higashiyamatominami-h/school_life/symbols.html
408210,多摩,ブレザー,,制服は、本校の卒業生である花井幸子氏が多摩高生のためにデザインしています。,https://www.metro.ed.jp/tama-h/school_life/symbols.html
408230,福生,ブレザー,1,福生高校の制服は、写真のようにオリジナルの２ボタンのブレザーの上着に、男子はダークグレーのスラックスと青いネクタイ、女子はピンクのラインが入ったチェック柄のスカートに、ネクタイまたはリボンが正装です。,https://www.metro.ed.jp/fussa-h/school_life/symbols.html
408240,秋留台,制服あり（形は公式サイト参照）,,ゆるぎない生活指導で、すがすがしい毎日を保証します 本校の生活指導は、自らの判断と責任で行動できる生徒の育成を目標としています。,https://www.metro.ed.jp/akirudai-h/school_life/symbols.html
408250,羽村,ブレザー,,【新制服】 羽村高校の服装に関する規定は以下の通りです。,https://www.metro.ed.jp/hamura-h/school_life/symbols.html
408420,青梅総合,ブレザー,,制服は、男女ともに濃紺のブレザーに、男子はダークグレーのスラックスとワイシャツ、ネクタイ、女子は紺のチェック柄のスカートに、ワイシャツ、ネクタイかリボンとなります。,https://www.metro.ed.jp/omesogo-h/school_life/symbols.html
408430,立川緑,標準服（制服なし）,,・施設・沿革 制服・校章・校歌・施設・沿革 制服 ※標準服・制服はありません。,https://www.metro.ed.jp/tachikawamidori-he/our_school/symbols.html
408510,上水,ブレザー,1,--> 制服 生徒にも大変人気の校服。,https://www.metro.ed.jp/josui-h/school_life/symbols.html
408710,多摩工科,,,校章 校名「多摩」は、玉に通じ、宝石のイメージをもつ。,https://www.metro.ed.jp/tamakoka-h/school_life/symbols.html
408820,瑞穂農芸,制服あり（形は公式サイト参照）,,女子の制服は、紺色を基調にした、大き目のフリーツで、落ちつきのあるタータンチェック柄が入っています。,https://www.metro.ed.jp/mizuhonogei-h/school_life/symbols.html
409010,武蔵,ブレザー,,制服（校服）は武蔵高等学校・附属中学校の集団全体を表わすと共に、同じ学校で学ぶ者の連帯のしるしです。,https://www.metro.ed.jp/musashi-h/school_life/symbols.html
409020,武蔵野北,ブレザー,1,武蔵野北高校の制服は、「この制服を着たかったからムサキタを選んだ。,https://www.metro.ed.jp/musashinokita-h/school_life/symbols.html
409030,小金井北,制服あり（形は公式サイト参照）,,夏はワイシャツの他にポロシャツ（学校指定）を着用することができます。,https://www.metro.ed.jp/koganeikita-h/school_life/symbols.html
409040,保谷,制服あり（形は公式サイト参照）,,平成26年度から新しい制服に変わりました ウォッシャブル素材やストレッチ裏地を使用し、着やすさ快適さを備えた、上品でシックな制服です。,https://www.metro.ed.jp/hoya-h/school_life/symbols.html
409060,久留米西,制服あり（形は公式サイト参照）,,※注記：冬服のみ、女子生徒用スラックスもあります。,https://www.metro.ed.jp/kurumenishi-h/school_life/symbols.html
409070,田無,ブレザー,,制服のコンセプト 緑の多い環境の中で生徒と教職員の信頼関係の下に生徒の個性と能力を伸ばす規律ある進学校 女子の制服ポイント 女子はリボンを採用し、可愛らしさを演出します。,https://www.metro.ed.jp/tanashi-h/school_life/symbols.html
409210,小平,制服あり（形は公式サイト参照）,,夏服 夏服では、略装として無地の白ポロシャツを着てもよいことになっています。,https://www.metro.ed.jp/kodaira-h/school_life/symbols.html
409220,小平西,ブレザー,,標準服（女子ネクタイver） ブレザーの紺と下はグレーの組み合わせです 標準服（女子リボンver） 夏服（ネクタイ有） グレーストライプ柄とネイビーチェック柄から選べます 白ポロシャツも可 夏服（ノーネクタイ） 女子スラックス ポロシャツ。,https://www.metro.ed.jp/kodairanishi-h/school_life/symbols.html
409230,東村山,制服あり（形は公式サイト参照）,,校章 本校は昭和43(1968)年４月に、「東村山市にぜひ都立高校を」という地元の要望がかなって開設されました。,https://www.metro.ed.jp/higashimurayama-h/school_life/symbols.html
409240,国分寺,ブレザー,,本校には指定の制服（ブレザー、スラックス、スカート）があります。,https://www.metro.ed.jp/kokubunji-h/school_life/symbols.html
409250,清瀬,ブレザー,1,令和7年度入学生から、制服が新しくなりました。,https://www.metro.ed.jp/kiyose-h/school_life/symbols.html
409270,小平南,制服あり（形は公式サイト参照）,,セーター・ベスト：それぞれ紺・グレーの2色あります。,https://www.metro.ed.jp/kodairaminami-h/school_life/symbols.html
409280,東村山西,ブレザー,,ブレザーとネクタイ スカート 上衣 ブレザー（チャコールグレー) ネクタイ マーク刺しゅう入り 男子 スラックス 女子 スカートまたはスラックス ※希望により学校指定のカーディガン、ベストあり （夏服） ワイシャツまたは開襟シャツ(白無地) 男子 夏用スラックス 女子 夏用スカートまたはスラックス。,https://www.metro.ed.jp/higashimurayamanishi-h/school_life/symbols.html
409410,東久留米総合,制服あり（形は公式サイト参照）,1,濃いチャコールグレーを基調とした３つボタンのジャケットに、ストライプ柄のスカートやスラックスを組み合わせたデザインの制服です。,https://www.metro.ed.jp/higashikurumesogo-h/school_life/symbols.html
409710,小金井工科,制服なし（服装自由）,,・施設・沿革 制服・校章・校歌・施設・沿革 制服 当校には制服はありません。,https://www.metro.ed.jp/koganeikoka-he/our_school/symbols.html
409720,田無工科,ブレザー,,夏の服装 男子 ①白のワイシャツ （白無地のポロシャツ） ②学校指定のズボン 女子 ①白のブラウス （白無地のポロシャツ） ②学校指定のスカート、ズボン ・女子は本校指定のベスト等を可とします。,https://www.metro.ed.jp/tanashikoka-h/school_life/symbols.html
409730,多摩科学技術,制服あり（形は公式サイト参照）,1,本校の制服は、社会人のスーツを意識したデザインで落ち着いた雰囲気に仕立ててあります。,https://www.metro.ed.jp/tamakagakugijutsu-h/school_life/symbols.html
410020,神代,ブレザー,,本校には「制服」はありません。,https://www.metro.ed.jp/jindai-h/school_life/symbols.html
410030,調布北,セーラー,,平成25年度から制服が新しくなりました。,https://www.metro.ed.jp/chofukita-h/school_life/symbols.html
410040,調布南,ブレザー,1,本校の制服は、本校指定ブレザー、ズボン、スカートを基本にしたスタイルで、夏服の購入は希望購入になっています。,https://www.metro.ed.jp/chofuminami-h/school_life/symbols.html
410050,狛江,ブレザー,,夏季はブレザー及びワイシャツの場合はネクタイ・リボンを着用しないことも可能です。,https://www.metro.ed.jp/komae-h/school_life/symbols.html
410210,府中,標準服,,,https://www.metro.ed.jp/fuchu-h/school_life/symbols.html
410220,府中東,ブレザー,,本校には制服があります。,https://www.metro.ed.jp/fuchuhigashi-h/school_life/symbols.html
