学校番号,所在地区市町村,学校名,郵便番号,住所,電話番号,学校名(フリガナ)
408240,あきる野市,秋留台,197-0812,平沢153-4,042-559-6821,アキルダイ
408250,羽村市,羽村,205-0012,羽4152-1,042-555-6631,ハムラ
408260,あきる野市,五日市,190-0164,五日市894,042-596-0176,イツカイチ
408420,青梅市,青梅総合,198-0041,勝沼1-60-1,0428-22-7604,オウメソウゴウ
408430,立川市,立川緑,190-0022,錦町6-3-1,042-529-3080,タチカワミドリ
408510,武蔵村山市,上水,208-0013,大南4-62-1,042-590-4580,ジョウスイ
408710,福生市,多摩工科,197-0003,熊川215,042-551-3435,タマコウカ
408820,瑞穂町,瑞穂農芸,190-1211,石畑2027,042-557-0142,ミズホノウゲイ
409010,武蔵野市,武蔵,180-0022,境4-13-28,0422-51-4554,ムサシ
409020,武蔵野市,武蔵野北,180-0011,八幡町2-3-10,0422-55-2071,ムサシノキタ
409030,小金井市,小金井北,184-0003,緑町4-1-1,042-385-2611,コガネイキタ
409040,西東京市,保谷,202-0005,住吉町5-8-23,042-422-3223,ホウヤ
409060,東久留米市,久留米西,203-0041,野火止2-1-44,042-474-2661,クルメニシ
409070,西東京市,田無,188-0013,向台町5-4-34,042-463-8511,タナシ
409210,小平市,小平,187-0042,仲町112,042-341-5410,コダイラ
409220,小平市,小平西,187-0032,小川町1-502-95,042-345-1411,コダイラニシ
409230,東村山市,東村山,189-0011,恩多町4-26-1,042-392-1235,ヒガシムラヤマ
409240,国分寺市,国分寺,185-0004,新町3-2-5,042-323-3371,コクブンジ
409250,清瀬市,清瀬,204-0022,松山3-1-56,042-492-3500,キヨセ
409270,小平市,小平南,187-0022,上水本町6-21-1,042-325-9331,コダイラミナミ
409280,東村山市,東村山西,189-0024,富士見町5-4-41,042-395-9121,ヒガシムラヤマニシ
409410,東久留米市,東久留米総合,203-0052,幸町5-8-46,042-471-2510,ヒガシクルメソウゴウ
409710,小金井市,小金井工科,184-8581,本町6-8-9,042-381-4141,コガネイコウカ
409720,西東京市,田無工科,188-0013,向台町1-9-1,042-464-2225,タナシコウカ
409730,小金井市,多摩科学技術,184-8581,本町6-8-9,042-381-4164,タマカガクギジュツ
410020,調布市,神代,182-0003,若葉町1-46-1,03-3300-8261,ジンダイ
410030,調布市,調布北,182-0011,深大寺北町5-39-1,042-487-1860,チョウフキタ
410040,調布市,調布南,182-0025,多摩川6-2-1,042-483-0765,チョウフミナミ
410050,狛江市,狛江,201-8501,元和泉3-9-1,03-3489-2241,コマエ
410210,府中市,府中,183-0051,栄町3-3-1,042-364-8411,フチュウ
410220,府中市,府中東,183-0012,押立町4-21,042-365-7611,フチュウヒガシ
410230,府中市,府中西,183-0036,日新町4-6-7,042-365-5933,フチュウニシ
410240,国立市,国立,186-0002,東4-25-1,042-575-0126,クニタチ
410250,多摩市,永山,206-0025,永山5-22,042-374-9891,ナガヤマ
410410,稲城市,若葉総合,206-0822,坂浜1434-3,042-350-0300,ワカバソウゴウ
410610,国立市,第五商業,186-0004,中3-4-1,042-572-0132,ダイゴショウギョウ
410710,府中市,府中工科,183-0005,若松町2-19-1,042-362-7237,フチュウコウカ
410810,府中市,農業,183-0056,寿町1-10-2,042-362-2211,ノウギョウ
411010,大島町,大島,100-0101,元町字八重の水127,04992-2-1431,オオシマ
411030,新島村,新島,100-0402,本村4-10-1,04992-5-0091,ニイジマ
411040,神津島村,神津,100-0601,神津島村1620,04992-8-0706,コウヅ
411910,大島町,大島海洋国際,100-0211,差木地字下原996-1,04992-4-0385,オオシマカイヨウコクサイ
412010,三宅村,三宅,100-1211,坪田4586,04994-6-1136,ミヤケ
413010,八丈町,八丈,100-1401,大賀郷3020,04996-2-1181,ハチジョウ
414010,小笠原村,小笠原,100-2101,父島字清瀬,04998-2-2346,オガサワラ
